Внешний код,Название,Активность,Символьный код,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Тип,Серия,Партномер,Номинальное входное напряжение_В,Выходное напряжение_В,Тип корпуса,Размеры корпуса_мм_x,Размеры корпуса_мм_y,Размеры корпуса_мм_z,Температурный диапазон_С°,Мощность_Вт,Максимальный проходной ток_А,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
proizvodstvo-preobrazovatelej-napryazheniya_428,"Vicor, V300C5M100BL",Y,vicor-V300C5M100BL,42900,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C5M100BL,"""300"" (180..375)",5,1/4 brick,,,,-55…101,,,,,proizvodstvo-preobrazovatelej-napryazheniya_74,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_429,"Vicor, V300C8M100BL",Y,vicor-V300C8M100BL,43000,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C8M100BL,"""300"" (180..375)",8,1/4 brick,,,,-55…102,,,,,proizvodstvo-preobrazovatelej-napryazheniya_75,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_430,"Vicor, V300C12M150BL",Y,vicor-V300C12M150BL,43100,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C12M150BL,"""300"" (180..375)",12,1/4 brick,,,,-55…103,,,,,proizvodstvo-preobrazovatelej-napryazheniya_76,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_431,"Vicor, V300C15M150BL",Y,vicor-V300C15M150BL,43200,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C15M150BL,"""300"" (180..375)",15,1/4 brick,,,,-55…104,,,,,proizvodstvo-preobrazovatelej-napryazheniya_77,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_432,"Vicor, V300C24M150BL",Y,vicor-V300C24M150BL,43300,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C24M150BL,"""300"" (180..375)",24,1/4 brick,,,,-55…105,,,,,proizvodstvo-preobrazovatelej-napryazheniya_78,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_433,"Vicor, V300C28M150BL",Y,vicor-V300C28M150BL,43400,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C28M150BL,"""300"" (180..375)",28,1/4 brick,,,,-55…106,,,,,proizvodstvo-preobrazovatelej-napryazheniya_79,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_434,"Vicor, V300C36M150BL",Y,vicor-V300C36M150BL,43500,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C36M150BL,"""300"" (180..375)",36,1/4 brick,,,,-55…107,,,,,proizvodstvo-preobrazovatelej-napryazheniya_80,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_435,"Vicor, V300C48M150BL",Y,vicor-V300C48M150BL,43600,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V300C48M150BL,"""300"" (180..375)",48,1/4 brick,,,,-55…108,,,,,proizvodstvo-preobrazovatelej-napryazheniya_81,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_436,"Vicor, V28A3V3H150BL",Y,vicor-V28A3V3H150BL,43700,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A3V3H150BL,"""28"" (9..36)","3,3",Full brick,,,,-40…100,,,,,proizvodstvo-preobrazovatelej-napryazheniya_252,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_437,"Vicor, V28A5H175BL",Y,vicor-V28A5H175BL,43800,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A5H175BL,"""28"" (9..36)",5,Full brick,,,,-40…101,,,,,proizvodstvo-preobrazovatelej-napryazheniya_253,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_438,"Vicor, V28A12H200BL",Y,vicor-V28A12H200BL,43900,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A12H200BL,"""28"" (9..36)",12,Full brick,,,,-40…102,,,,,proizvodstvo-preobrazovatelej-napryazheniya_254,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_439,"Vicor, V28A15H200BL",Y,vicor-V28A15H200BL,44000,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A15H200BL,"""28"" (9..36)",15,Full brick,,,,-40…103,,,,,proizvodstvo-preobrazovatelej-napryazheniya_255,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_440,"Vicor, V28A24H200BL",Y,vicor-V28A24H200BL,44100,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A24H200BL,"""28"" (9..36)",24,Full brick,,,,-40…104,,,,,proizvodstvo-preobrazovatelej-napryazheniya_256,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_441,"Vicor, V28A28H200BL",Y,vicor-V28A28H200BL,44200,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A28H200BL,"""28"" (9..36)",28,Full brick,,,,-40…105,,,,,proizvodstvo-preobrazovatelej-napryazheniya_257,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_442,"Vicor, V28A36H200BL",Y,vicor-V28A36H200BL,44300,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A36H200BL,"""28"" (9..36)",36,Full brick,,,,-40…106,,,,,proizvodstvo-preobrazovatelej-napryazheniya_258,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_443,"Vicor, V28A48H200BL",Y,vicor-V28A48H200BL,44400,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A48H200BL,"""28"" (9..36)",48,Full brick,,,,-40…107,,,,,proizvodstvo-preobrazovatelej-napryazheniya_259,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_444,"Vicor, V28A3V3M150BL",Y,vicor-V28A3V3M150BL,44500,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A3V3M150BL,"""28"" (9..36)","3,3",Full brick,,,,-55…100,,,,,proizvodstvo-preobrazovatelej-napryazheniya_260,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_445,"Vicor, V28A5M175BL",Y,vicor-V28A5M175BL,44600,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A5M175BL,"""28"" (9..36)",5,Full brick,,,,-55…101,,,,,proizvodstvo-preobrazovatelej-napryazheniya_261,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_446,"Vicor, V28A12M200BL",Y,vicor-V28A12M200BL,44700,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A12M200BL,"""28"" (9..36)",12,Full brick,,,,-55…102,,,,,proizvodstvo-preobrazovatelej-napryazheniya_262,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_447,"Vicor, V28A15M200BL",Y,vicor-V28A15M200BL,44800,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A15M200BL,"""28"" (9..36)",15,Full brick,,,,-55…103,,,,,proizvodstvo-preobrazovatelej-napryazheniya_263,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_448,"Vicor, V28A24M200BL",Y,vicor-V28A24M200BL,44900,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A24M200BL,"""28"" (9..36)",24,Full brick,,,,-55…104,,,,,proizvodstvo-preobrazovatelej-napryazheniya_264,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_449,"Vicor, V28A28M200BL",Y,vicor-V28A28M200BL,45000,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A28M200BL,"""28"" (9..36)",28,Full brick,,,,-55…105,,,,,proizvodstvo-preobrazovatelej-napryazheniya_265,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_450,"Vicor, V28A36M200BL",Y,vicor-V28A36M200BL,45100,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A36M200BL,"""28"" (9..36)",36,Full brick,,,,-55…106,,,,,proizvodstvo-preobrazovatelej-napryazheniya_266,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
proizvodstvo-preobrazovatelej-napryazheniya_451,"Vicor, V28A48M200BL",Y,vicor-V28A48M200BL,45200,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство модульных преобразователей «ИРТЫШ»®. Полная «PIN-TO-PIN» совместимость с продукцией VICOR. Разумные сроки. Индивидуальный подход.</p>,html,,Vicor,,,V28A48M200BL,"""28"" (9..36)",48,Full brick,,,,-55…107,,,,,proizvodstvo-preobrazovatelej-napryazheniya_267,,,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Полные pin-to-pin замены преобразователей Vicor,preobrazovateli-vicor,proizvodstvo-preobrazovatelej-napryazheniya_section_3
