Внешний код,Название,Символьный код,Активность,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Партномер,Тип,Мощность_Вт,Рабочее напряжение_В,Коэффициент усиления_Дб,Граничная частота усиления_до_ГГц,Граничная частота усиления_от_МГц,Граничная частота усиления_до_МГц,Тип корпуса,Размер корпуса с фланцами и выводами_мм_x,Размер корпуса с фланцами и выводами_мм_y,Размер корпуса с фланцами и выводами_мм_z,Размер кристалла_мм_x,Размер кристалла_мм_y,Размер кристалла_Круг,Дополнительные фото,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
svch-tranzistory_28,Высокочастотный транзистор BLF404,,Y,2900,,html,,,html,BLF404.png,NXP,BLF404,Сдвоенный N-канальный радиочастотный LDMOS с общим истоком,4,"12,5","11,5","0,5",,,Пластиковый корпус поверхностного монтажа SO8 с формованными выводами,7.36,05.08,2.18,,,,,svch-tranzistory_12,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_29,Высокочастотный транзистор BLF574,,Y,3000,,html,,,html,BLF574.png,NXP,BLF574 ,Радиочастотный LDMOS ,600,50,"27,5",,,500,Керамический корпус с фланцами,41.15,16.60,4.45,31.25,9.40,,,svch-tranzistory_13,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_30,Высокочастотный транзистор D1207UK,,Y,3100,,html,,,html,D1207UK.png,AMPLEON,D1207UK,Сдвоенный N-канальный радиочастотный LDMOS с общим истоком,20,"12,5",10,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",18.90,16.38,05.08,6.35,6.35,,,svch-tranzistory_14,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_31,Высокочастотный транзистор D2001UK,,Y,3200,,html,,,html,D2001UK.png,SEMELAB,D2001UK,Сдвоенный N-канальный радиочастотный LDMOS с общим истоком,"2,5",28,13,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 2 вывода ",18.92,16.51,6.35,,,,,svch-tranzistory_15,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_32,Высокочастотный транзистор D2202UK,,Y,3300,,html,,,html,D2202UK.png,SEMELAB,D2202UK,,5,"12,5",10,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 2 вывода ",18.92,16.51,6.35,,,,,svch-tranzistory_16,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_33,Высокочастотный транзистор BLS6G3135,,Y,3400,,html,,,html,BLS6G3135.png,SEMELAB,BLS6G3135,,20,28,,,3100,3500,Керамический корпус с фланцами,"15,37","4,62","7,24",,,,,svch-tranzistory_17,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_34,Высокочастотный транзистор ,,N,3500,,html,,,html,,,,,,,,,,,,,,,,,,,,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_35,Высокочастотный транзистор D2208UK (SemeLAB),,Y,3600,,html,,,html,D2208UK (SemeLAB).png,SEMELAB,D2208UK (SemeLAB),,40,"12,5",10,"0,5",,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",24.76,16.51,6.47,,,,,svch-tranzistory_2,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_36,Высокочастотный транзистор BLF246,,Y,3700,,html,,,html,BLF246.png,NXP,BLF246,,80,28,16,,,108,Керамический корпус с фланцами,27.00,27.00,6.67,12.70,,Y,,svch-tranzistory_9,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_37,Высокочастотный транзистор D2213UK,,Y,3800,,html,,,html,,SEMELAB,D2213UK,,20,"12,5",10,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",24.76,16.51,6.47,,,,,svch-tranzistory_14,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_38,Высокочастотный транзистор D2002UK,,Y,3900,,html,,,html,,SEMELAB,D2002UK,,5,28,13,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 2 вывода ",18.92,16.51,6.35,,,,,svch-tranzistory_15,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
